Date	Open	High	Low	Close	Volume
8-Dec-11	125.88	126.18	123.65	123.98	51039070
7-Dec-11	125.84	127.26	124.97	126.75	47462667
6-Dec-11	126.17	127.11	125.76	126.26	27218979
5-Dec-11	126.8	127.18	125.45	126.21	48955606
2-Dec-11	126.14	126.5	124.78	124.86	47029127
1-Dec-11	124.85	125.64	124.43	124.98	33494814
30-Nov-11	123.5	125.22	123.22	125.11	61994264
29-Nov-11	120.09	121	119.61	120.08	41177514
28-Nov-11	119.53	120.18	118.82	119.7	42828544
25-Nov-11	116.38	117.7	116.2	116.2	21312446
23-Nov-11	-	-	-	116.56	0
22-Nov-11	119.39	120.1	118.53	119.19	43397130
21-Nov-11	120.21	120.34	118.66	119.62	43463571
18-Nov-11	122.46	122.75	121.47	121.99	44737467
17-Nov-11	123.84	124.15	121.24	122.18	63908830
16-Nov-11	124.81	126.33	123.9	124.05	49588936
15-Nov-11	125.12	126.75	124.72	126.12	36056725
14-Nov-11	126.21	126.35	124.92	125.46	29118865
11-Nov-11	125.86	126.99	125.8	126.62	36249442
10-Nov-11	124.8	124.93	123.02	124.32	45816627
9-Nov-11	124.91	125.46	122.87	123.19	71335815
8-Nov-11	126.93	128.02	125.71	127.86	45497628
7-Nov-11	125.43	126.39	124.21	126.28	40221254
4-Nov-11	125.23	125.69	124.02	125.45	44477724
3-Nov-11	125.31	126.5	123.6	126.24	61861885
2-Nov-11	123.88	124.4	122.8	123.99	53303725
1-Nov-11	122	123.5	121.52	122.08	92917571
31-Oct-11	127.23	127.26	125.32	125.45	43967241
28-Oct-11	127.98	128.85	127.8	128.68	39809147
27-Oct-11	127.7	129.41	126.61	127.43	84203637
26-Oct-11	124.35	124.77	122.21	124.33	62984557
25-Oct-11	124.93	124.94	122.78	123.08	55330266
24-Oct-11	124.14	125.79	124.06	125.49	40550810
21-Oct-11	123.07	124.12	122.72	123.91	54726464
20-Oct-11	121.36	122.09	119.82	121.69	58232571
19-Oct-11	122.33	123.08	120.72	121.14	44676650
18-Oct-11	120.08	123.5	119.2	122.61	66897430
17-Oct-11	121.99	122.06	119.93	120.24	43306475
